id,name,website,category
91,NotebookLM,cloud.google.com/gemini,"AI, Research & Media-native"
92,Otter AI,help.otter.ai,"AI, Research & Media-native"
93,Fathom,fathom.video,"AI, Research & Media-native"
94,Consensus,consensus.app,"AI, Research & Media-native"
95,Reducto,reducto.ai,"AI, Research & Media-native"
96,Devin,docs.devin.ai,"AI, Research & Media-native"
97,higgsfield,higgsfield.ai/cli,"AI, Research & Media-native"
98,Mermaid CLI,github.com/mermaid-js/mermaid-cli,"AI, Research & Media-native"
99,YouTube Transcript,transcriptapi.com,"AI, Research & Media-native"
100,Grain,grain.com,"AI, Research & Media-native"
